Time [ms], Thrust [N]
1050,  2297.1457490658267
1051,  2302.9166502499393
1052,  2308.9920689123715
1054,  2315.329996637498
1055,  2321.920486852794
1056,  2328.7621744796643
1057,  2335.8400502093805
1058,  2343.097805590883
1059,  2350.4897133788872
1060,  2358.0229547036715
1061,  2365.6327040100496
1062,  2373.1992287340104
1063,  2380.6598915733075
1064,  2387.954834967684
1065,  2394.988936494623
1066,  2401.688867187793
1067,  2407.98954092551
1068,  2413.8785245736644
1069,  2419.3635892081397
1070,  2424.4709230731596
1071,  2429.262623119652
1072,  2433.841362796684
1073,  2438.2894016246814
1074,  2442.6848667561953
1075,  2447.1570229279655
1076,  2451.7630835742166
1077,  2456.5573620996156
1078,  2461.5412534708826
1079,  2466.723953326344
1080,  2472.062757869262
1081,  2477.4835024810486
1082,  2482.9231171417864
1083,  2488.310178697769
1084,  2493.566778609381
1085,  2498.613954373812
1086,  2503.4536250199867
1087,  2508.0536521864065
1088,  2512.442113442055
1089,  2516.656825654687
1090,  2520.7720465689526
1091,  2524.871317235651
1092,  2529.0232228510254
1093,  2533.2972433367227
1094,  2537.753898901007
1095,  2542.4145655227485
1096,  2547.2879600150773
1097,  2552.2969404467144
1098,  2557.397835932154
1099,  2562.5103121005586
1100,  2567.512250515402
1101,  2572.2553404734795
1102,  2576.6551364908623
1103,  2580.643162175945
1104,  2584.1303255027346
1105,  2587.090705322323
1106,  2589.5309590358825
1107,  2591.5216822697503
1108,  2593.113708172692
1109,  2594.4185675907224
1110,  2595.582290506897
1111,  2596.6861985489127
1112,  2597.840946841779
1113,  2599.144170848304
1114,  2600.6578233547975
1115,  2602.397004985205
1116,  2604.329195974321
1117,  2606.4183725960024
1118,  2608.6160685401646
1119,  2610.8161603700123
1120,  2612.911556333716
1121,  2614.820504351222
1122,  2616.479335371539
1123,  2617.8365862247806
1124,  2618.8297515844665
1125,  2619.464573392337
1126,  2619.7845391292417
1127,  2619.8379999209633
1128,  2619.6659614276023
1129,  2619.3455826548784
1130,  2618.9547108723436
1131,  2618.5536358623535
1132,  2618.1661348320795
1133,  2617.8068032293913
1134,  2617.466062197211
1135,  2617.1332033898334
1136,  2616.7431067800844
1137,  2616.1923292082474
1138,  2615.4468969806157
1139,  2614.4373157960304
1140,  2613.100823502522
1141,  2611.382662064874
1142,  2609.2882404645025
1143,  2606.858769280555
1144,  2604.1295233661913
1145,  2601.152171440862
1146,  2598.026397199907
1147,  2594.874049953434
1148,  2591.777184050379
1149,  2588.8110115352806
1150,  2586.0221059208993
1151,  2583.47555469536
1152,  2581.1819563052577
1153,  2579.0891828137055
1154,  2577.1366612904817
1155,  2575.2745830189638
1156,  2573.412491476128
1157,  2571.430200369493
1158,  2569.2205958115183
1159,  2566.730263214382
1160,  2563.904392728955
1161,  2560.6780330635547
1162,  2557.033010518692
1163,  2553.017550249645
1164,  2548.7048256264684
1165,  2544.1378272561064
1166,  2539.410544413321
1167,  2534.6649444754
1168,  2530.014540600571
1169,  2525.543021787263
1170,  2521.327998882061
1171,  2517.468420994178
1172,  2514.0047398499396
1173,  2510.9043737632683
1174,  2508.122590155998
1175,  2505.614924393679
1176,  2503.2774636307963
1177,  2500.970942351671
1178,  2498.532143531009
1179,  2495.8580056577116
1180,  2492.8583801871837
1181,  2489.3791639156143
1182,  2485.3501857802253
1183,  2480.784574590225
1184,  2475.6907887339407
1185,  2470.1039283894743
1186,  2464.1023773879256
1187,  2457.831956240887
1188,  2451.4456787276595
1189,  2445.027899665757
1190,  2438.694391586787
1191,  2432.5742183746606
1192,  2426.742925708504
1193,  2421.2123488067714
1194,  2415.955423460025
1195,  2410.9843210069853
1196,  2406.233265477417
1197,  2401.625355804095
1198,  2397.045785575052
1199,  2392.4195391646626
1200,  2387.7171651673243
1201,  2382.8518857739364
1202,  2377.758210110822
1203,  2372.482367090487
1204,  2367.076642918224
1205,  2361.557554697565
1206,  2355.985848399661
